Year,State,Mean_Tmp,Min_Tmp,Max_Tmp,Percipitation,Change_Tmp,State_ID,Cases,Region,State_Area(km2),Population
2012,Acre,25.74,20.48,31.05,1851.9,10.57,12.0,22,N,164124.0,758786
2013,Acre,25.61,20.4,30.86,1909.14,10.46,12.0,9229,N,164124.0,776463
2014,Acre,25.78,20.57,31.04,2243.0,10.47,12.0,36795,N,164124.0,790101
2015,Acre,26.22,20.88,31.62,1895.83,10.740000000000002,12.0,14320,N,164124.0,803513
2016,Acre,26.16,20.66,31.71,1874.84,11.05,12.0,9237,N,164124.0,816687
2017,Acre,26.03,20.47,31.64,2018.02,11.170000000000002,12.0,5283,N,164124.0,829619
2018,Acre,25.6,20.26,30.99,2051.84,10.729999999999997,12.0,13017,N,164124.0,869265
2019,Acre,25.96,20.62,31.36,2100.0,10.739999999999998,12.0,17215,N,164124.0,881935
2020,Acre,26.18,20.85,31.57,1846.16,10.72,12.0,14130,N,164124.0,894470
2021,Acre,26.08,20.76,31.45,1949.34,10.689999999999998,12.0,82,N,164124.0,906876
2012,Alagoas,25.06,20.22,29.95,593.44,9.73,27.0,4,NE,27848.0,3165472
2013,Alagoas,25.22,20.66,29.83,902.13,9.169999999999998,27.0,15720,NE,27848.0,3300935
2014,Alagoas,24.9,20.39,29.45,993.61,9.06,27.0,16428,NE,27848.0,3321730
2015,Alagoas,25.39,20.62,30.2,715.36,9.579999999999998,27.0,33953,NE,27848.0,3340932
2016,Alagoas,25.61,20.84,30.45,587.05,9.61,27.0,24705,NE,27848.0,3358963
2017,Alagoas,25.23,20.68,29.82,1064.9,9.14,27.0,3614,NE,27848.0,3375823
2018,Alagoas,25.34,20.62,30.11,673.75,9.489999999999998,27.0,2973,NE,27848.0,3322820
2019,Alagoas,25.47,20.74,30.26,888.64,9.520000000000003,27.0,27431,NE,27848.0,3337357
2020,Alagoas,25.47,20.88,30.1,943.43,9.220000000000002,27.0,3597,NE,27848.0,3351543
2021,Alagoas,25.05,20.41,29.75,839.62,9.34,27.0,1,NE,27848.0,3365351
2013,Amapa,26.63,22.35,30.96,2714.47,8.61,16.0,2294,N,142829.0,734996
2014,Amapa,26.52,22.14,30.95,2365.25,8.809999999999999,16.0,2604,N,142829.0,750912
2015,Amapa,26.8,22.32,31.33,2488.43,9.009999999999998,16.0,4434,N,142829.0,766679
2016,Amapa,26.89,22.66,31.17,2440.85,8.510000000000002,16.0,3550,N,142829.0,782295
2017,Amapa,26.67,22.48,30.91,2464.41,8.43,16.0,1468,N,142829.0,797722
2018,Amapa,26.51,22.38,30.7,2750.9,8.32,16.0,1422,N,142829.0,829494
2019,Amapa,26.75,22.47,31.07,2452.59,8.600000000000001,16.0,915,N,142829.0,845731
2020,Amapa,26.83,22.5,31.2,2259.45,8.7,16.0,142,N,142829.0,861773
2012,Amazonas,26.87,22.27,31.52,2494.74,9.25,13.0,12,N,1559148.0,3590985
2013,Amazonas,26.95,22.44,31.51,2602.14,9.07,13.0,23947,N,1559148.0,3807921
2014,Amazonas,27.08,22.55,31.65,2492.52,9.099999999999998,13.0,11013,N,1559148.0,3873743
2015,Amazonas,27.44,22.75,32.18,2108.76,9.43,13.0,7833,N,1559148.0,3938336
2016,Amazonas,27.18,22.49,31.91,2090.73,9.420000000000002,13.0,15314,N,1559148.0,4001667
2017,Amazonas,26.99,22.22,31.81,2278.44,9.59,13.0,8311,N,1559148.0,4063614
2018,Amazonas,26.84,22.38,31.35,2496.37,8.970000000000002,13.0,4687,N,1559148.0,4080611
2019,Amazonas,27.1,22.71,31.54,2521.46,8.829999999999998,13.0,7740,N,1559148.0,4144597
2020,Amazonas,27.27,22.87,31.72,2441.88,8.849999999999998,13.0,10464,N,1559148.0,4207714
2021,Amazonas,26.94,22.64,31.28,2575.66,8.64,13.0,15,N,1559148.0,4269995
2012,Bahia,24.89,19.3,30.52,521.04,11.22,29.0,12,NE,564733.0,14175341
2013,Bahia,25.0,19.67,30.38,829.99,10.709999999999996,29.0,84970,NE,564733.0,15044137
2014,Bahia,24.84,19.38,30.35,701.72,10.970000000000002,29.0,24907,NE,564733.0,15126371
